gene	w	p_value
V1980	RPL27A	236	9.87052917480469e-05
V2185	SNRPN	17	9.87052917480469e-05
V529	DAPK1	235	0.000120639801025391
V783	FIP1L1	18	0.000120639801025391
V965	HERC2	18	0.000120639801025391
V1021	HNRNPH1	18	0.000120639801025391
V1195	KIF23	235	0.000120639801025391
V1543	NKX2-1	18	0.000120639801025391
V1797	PPWD1	18	0.000120639801025391
V1881	RAD23A	18	0.000120639801025391
V2105	SH2B2	235	0.000120639801025391
V2140	SKA1	235	0.000120639801025391
V2239	SRP54	235	0.000120639801025391
V2382	TJP1	18	0.000120639801025391
V2461	TRIB3	235	0.000120639801025391
V93	AQR	19	0.000146389007568359
V323	CD8A	234	0.000146389007568359
V324	CD8B	234	0.000146389007568359
V511	CUX1	234	0.000146389007568359
V856	GH1	234	0.000146389007568359
V984	HIST1H2AA	234	0.000146389007568359
V1340	MAPRE1	234	0.000146389007568359
V1459	MXI1	234	0.000146389007568359
V1461	MYBL2	234	0.000146389007568359
V1475	MYO1B	234	0.000146389007568359
V2082	SERPINB13	234	0.000146389007568359
V2118	SHANK2	19	0.000146389007568359
V2120	SHBG	19	0.000146389007568359
V2154	SLC25A23	19	0.000146389007568359
V2170	SLC9A3R2	234	0.000146389007568359
V2513	TXNL4A	19	0.000146389007568359
V259	CARM1	233	0.000176906585693359
V310	CD3G	233	0.000176906585693359
V336	CDC6	233	0.000176906585693359
V491	CSF3R	233	0.000176906585693359
V705	EPHA8	233	0.000176906585693359
V857	GHSR	233	0.000176906585693359
V999	HIST1H4C	233	0.000176906585693359
V1249	LASP1	233	0.000176906585693359
V1323	MAP3K7	20	0.000176906585693359
V1362	MCM8	233	0.000176906585693359
V1407	MMP1	233	0.000176906585693359
V1411	MMP9	233	0.000176906585693359
V1532	NFYB	233	0.000176906585693359
V1738	PLK1	233	0.000176906585693359
V1948	RIC8B	233	0.000176906585693359
V1961	RNF111	20	0.000176906585693359
V2071	SENP1	233	0.000176906585693359
V2450	TRADD	20	0.000176906585693359
V2500	TUBB3	233	0.000176906585693359
V314	CD53	232	0.000213146209716797
V337	CDC7	232	0.000213146209716797
V404	CHST15	232	0.000213146209716797
V440	COL2A1	232	0.000213146209716797
V653	EFNA4	232	0.000213146209716797
V698	EPAS1	21	0.000213146209716797
V768	FBXW11	21	0.000213146209716797
V1627	ORC6	232	0.000213146209716797
V1643	PAK3	21	0.000213146209716797
V1702	PI4KB	232	0.000213146209716797
V1804	PRKACA	21	0.000213146209716797
V1885	RAD9B	232	0.000213146209716797
V2334	TCEAL9	21	0.000213146209716797
V2381	TIPIN	232	0.000213146209716797
V2435	TOP2A	232	0.000213146209716797
V2462	TRIM11	21	0.000213146209716797
V313	CD5	231	0.000255584716796875
V332	CDC37	22	0.000255584716796875
V506	CUL2	22	0.000255584716796875
V699	EPB41L1	231	0.000255584716796875
V707	EPN2	22	0.000255584716796875
V935	GTF2H5	231	0.000255584716796875
V1064	IDH3G	231	0.000255584716796875
V1120	INTS7	231	0.000255584716796875
V1345	MASP1	231	0.000255584716796875
V1470	MYL4	231	0.000255584716796875
V1749	PNPLA2	231	0.000255584716796875
V1752	POLA1	231	0.000255584716796875
V1755	POLDIP2	231	0.000255584716796875
V1761	POLR2J	22	0.000255584716796875
V1918	RCOR1	231	0.000255584716796875
V1928	REV1	22	0.000255584716796875
V1945	RHOU	231	0.000255584716796875
V2210	SPART	231	0.000255584716796875
V2350	TFAP2A	22	0.000255584716796875
V2547	UPF3A	22	0.000255584716796875
V100	ARHGAP32	23	0.000304698944091797
V160	BAG1	23	0.000304698944091797
V366	CENPH	230	0.000304698944091797
V674	EIF5B	23	0.000304698944091797
V825	GALR3	230	0.000304698944091797
V947	HAP1	230	0.000304698944091797
V1049	HTR1A	23	0.000304698944091797
V1061	ID1	230	0.000304698944091797
V1266	LIMS1	230	0.000304698944091797
V1284	LRP2	230	0.000304698944091797
V1306	MAD2L1BP	23	0.000304698944091797
V1389	MGMT	23	0.000304698944091797
V1646	PAPOLA	23	0.000304698944091797
V1810	PRLR	230	0.000304698944091797
V1815	PRPF8	23	0.000304698944091797
V1874	RAB7A	23	0.000304698944091797
V1959	RMI1	230	0.000304698944091797
V1978	RPL10L	23	0.000304698944091797
V2076	SEPT2	23	0.000304698944091797
V2147	SLAMF6	230	0.000304698944091797
V2190	SNX18	23	0.000304698944091797
V2279	STX11	23	0.000304698944091797
V2302	SYT4	230	0.000304698944091797
V2362	THAP11	230	0.000304698944091797
V2445	TPD52L1	23	0.000304698944091797
V2585	VPS25	230	0.000304698944091797
V2625	XRCC1	230	0.000304698944091797
V52	AGTR1	24	0.000361919403076172
V156	AURKB	229	0.000361919403076172
V290	CCNB2	229	0.000361919403076172
V329	CDC25C	229	0.000361919403076172
V341	CDH1	24	0.000361919403076172
V348	CDK14	24	0.000361919403076172
V357	CDKN3	229	0.000361919403076172
V540	DCLRE1C	229	0.000361919403076172
V550	DDX3X	24	0.000361919403076172
V557	DERL2	24	0.000361919403076172
V720	ERG	229	0.000361919403076172
V751	FANCD2	229	0.000361919403076172
V940	GTSE1	229	0.000361919403076172
V1067	IFITM1	229	0.000361919403076172
V1080	IGHG1	229	0.000361919403076172
V1388	MGA	229	0.000361919403076172
V1437	MSH2	229	0.000361919403076172
V1638	PAFAH1B2	24	0.000361919403076172
V1854	QARS	229	0.000361919403076172
V2145	SLA	229	0.000361919403076172
V2153	SLC25A11	229	0.000361919403076172
V2293	SVIL	24	0.000361919403076172
V2346	TERT	229	0.000361919403076172
V2352	TFE3	24	0.000361919403076172
V2358	TGFBR1	24	0.000361919403076172
V2425	TNNT2	229	0.000361919403076172
V2459	TREM2	229	0.000361919403076172
V2497	TTN	24	0.000361919403076172
V2606	WIPF1	229	0.000361919403076172
V3	ABCD3	228	0.000428199768066406
V8	ABI1	228	0.000428199768066406
V22	ACTN2	228	0.000428199768066406
V46	AES	25	0.000428199768066406
V130	ASIC3	25	0.000428199768066406
V306	CD300LF	228	0.000428199768066406
V312	CD48	228	0.000428199768066406
V414	CLIC4	25	0.000428199768066406
V447	COL5A2	228	0.000428199768066406
V489	CSF1	228	0.000428199768066406
V665	EIF2AK3	25	0.000428199768066406
V901	GPR84	228	0.000428199768066406
V919	GRIN3A	25	0.000428199768066406
V1002	HIST3H2A	228	0.000428199768066406
V1040	HSH2D	228	0.000428199768066406
V1238	KTN1	25	0.000428199768066406
V1375	MED18	228	0.000428199768066406
V1378	MED29	25	0.000428199768066406
V1426	MRPL32	228	0.000428199768066406
V1443	MTA1	25	0.000428199768066406
V1519	NEU1	25	0.000428199768066406
V1616	OGG1	228	0.000428199768066406
V1637	PACSIN1	228	0.000428199768066406
V1656	PCBD1	228	0.000428199768066406
V1727	PLA2G15	228	0.000428199768066406
V1889	RALGDS	228	0.000428199768066406
V2129	SIK1	228	0.000428199768066406
V2134	SIRPA	228	0.000428199768066406
V2275	STRAP	25	0.000428199768066406
V2305	TAAR5	228	0.000428199768066406
V2326	TAX1BP1	228	0.000428199768066406
V2424	TNNT1	228	0.000428199768066406
V2518	UBAC1	228	0.000428199768066406
V2546	UPF1	25	0.000428199768066406
V135	ATF7IP	26	0.000504493713378906
V412	CLEC4A	227	0.000504493713378906
V475	CRHR1	26	0.000504493713378906
V554	DEK	227	0.000504493713378906
V563	DHX37	26	0.000504493713378906
V633	DYNC1I1	26	0.000504493713378906
V641	ECH1	26	0.000504493713378906
V717	ERCC6	26	0.000504493713378906
V727	EXOC1	26	0.000504493713378906
V914	GRIK2	26	0.000504493713378906
V1044	HSPA2	26	0.000504493713378906
V1111	INCA1	227	0.000504493713378906
V1118	INTS4	227	0.000504493713378906
V1125	IQGAP3	227	0.000504493713378906
V1160	KCNB1	227	0.000504493713378906
V1263	LILRB2	227	0.000504493713378906
V1289	LRRK1	227	0.000504493713378906
V1356	MCAM	227	0.000504493713378906
V1361	MCM10	227	0.000504493713378906
V1484	NAA25	227	0.000504493713378906
V1550	NMUR1	227	0.000504493713378906
V1695	PHF19	227	0.000504493713378906
V1842	PTPRCAP	227	0.000504493713378906
V2415	TNFRSF8	227	0.000504493713378906
V2523	UBE2V2	26	0.000504493713378906
V2533	UCHL1	26	0.000504493713378906
V2593	VTA1	26	0.000504493713378906
V47	AFAP1	226	0.000592708587646484
V155	AURKA	226	0.000592708587646484
V240	CAD	27	0.000592708587646484
V283	CCL2	226	0.000592708587646484
V302	CD22	226	0.000592708587646484
V320	CD80	226	0.000592708587646484
V322	CD86	226	0.000592708587646484
V328	CDC25A	226	0.000592708587646484
V422	CLTB	27	0.000592708587646484
V461	CORO1B	226	0.000592708587646484
V509	CUL4B	27	0.000592708587646484
V534	DBN1	226	0.000592708587646484
V602	DPEP1	226	0.000592708587646484
V746	F13A1	226	0.000592708587646484
V775	FER	27	0.000592708587646484
V975	HIF1AN	226	0.000592708587646484
V1009	HLA-DMB	226	0.000592708587646484
V1022	HNRNPUL1	27	0.000592708587646484
V1037	HSF1	27	0.000592708587646484
V1149	JCHAIN	226	0.000592708587646484
V1261	LGALS1	226	0.000592708587646484
V1609	NUP155	226	0.000592708587646484
V1624	ORC3	226	0.000592708587646484
V1662	PDCD6	226	0.000592708587646484
V1709	PIK3R5	226	0.000592708587646484
V1779	PPP1CB	27	0.000592708587646484
V1871	RAB5B	27	0.000592708587646484
V1904	RAVER1	226	0.000592708587646484
V1926	REST	226	0.000592708587646484
V2033	SCARB2	226	0.000592708587646484
V2096	SF3B3	27	0.000592708587646484
V2113	SH3GL2	27	0.000592708587646484
V2131	SIKE1	226	0.000592708587646484
V2141	SKA2	226	0.000592708587646484
V2306	TAAR6	226	0.000592708587646484
V2437	TOP3A	226	0.000592708587646484
V2489	TTC1	27	0.000592708587646484
V58	AKT2	28	0.000693798065185547
V204	BRCA1	225	0.000693798065185547
V217	BYSL	225	0.000693798065185547
V230	C8B	225	0.000693798065185547
V256	CARD10	28	0.000693798065185547
V276	CCDC174	225	0.000693798065185547
V370	CENPN	225	0.000693798065185547
V521	CYCS	28	0.000693798065185547
V546	DDX17	225	0.000693798065185547
V638	E2F2	225	0.000693798065185547
V686	ELP4	225	0.000693798065185547
V750	FADD	28	0.000693798065185547
V765	FBXO4	225	0.000693798065185547
V873	GNA12	28	0.000693798065185547
V882	GNG7	28	0.000693798065185547
V927	GRN	28	0.000693798065185547
V950	HAUS6	225	0.000693798065185547
V1189	KIF11	225	0.000693798065185547
V1367	MDM4	28	0.000693798065185547
V1436	MS4A2	225	0.000693798065185547
V1498	NCAPG	225	0.000693798065185547
V1500	NCAPH2	225	0.000693798065185547
V1531	NFRKB	225	0.000693798065185547
V1585	NR4A1	28	0.000693798065185547
V1676	PEA15	28	0.000693798065185547
V1759	POLR1E	28	0.000693798065185547
V1852	PYDC1	225	0.000693798065185547
V1882	RAD51	225	0.000693798065185547
V1908	RBFOX1	28	0.000693798065185547
V1929	RFC2	225	0.000693798065185547
V1968	RNF217	28	0.000693798065185547
V1987	RPS6	225	0.000693798065185547
V2036	SCNN1B	28	0.000693798065185547
V2148	SLAMF7	225	0.000693798065185547
V97	ARHGAP1	224	0.000809192657470703
V122	ASB13	224	0.000809192657470703
V123	ASB16	29	0.000809192657470703
V171	BCAR3	29	0.000809192657470703
V299	CD1D	224	0.000809192657470703
V566	DIMT1	224	0.000809192657470703
V590	DNMT3A	224	0.000809192657470703
V779	FGF13	29	0.000809192657470703
V1023	HOMER2	224	0.000809192657470703
V1055	HTR5A	224	0.000809192657470703
V1060	ICAM1	224	0.000809192657470703
V1109	IL7	224	0.000809192657470703
V1300	LUC7L2	29	0.000809192657470703
V1329	MAP7D1	224	0.000809192657470703
V1333	MAPK6	224	0.000809192657470703
V1346	MAT2A	224	0.000809192657470703
V1428	MRPL41	224	0.000809192657470703
V1455	MUTYH	29	0.000809192657470703
V1466	MYL1	224	0.000809192657470703
V1562	NPAS2	29	0.000809192657470703
V1807	PRKCH	224	0.000809192657470703
V1830	PTGDR	224	0.000809192657470703
V1859	RAB11FIP4	224	0.000809192657470703
V1907	RBBP6	29	0.000809192657470703
V1921	REG3A	224	0.000809192657470703
V2042	SDC3	224	0.000809192657470703
V2213	SPDL1	224	0.000809192657470703
V2231	SQOR	224	0.000809192657470703
V2316	TAF15	29	0.000809192657470703
V2409	TNFAIP6	224	0.000809192657470703
V2508	TXK	224	0.000809192657470703
V2560	USP6NL	29	0.000809192657470703
V556	DERL1	30	0.000941276550292969
V664	EIF2AK1	30	0.000941276550292969
V891	GOLM1	30	0.000941276550292969
V976	HIF3A	30	0.000941276550292969
V1008	HK3	223	0.000941276550292969
V1058	HUS1	30	0.000941276550292969
V1247	LAPTM5	30	0.000941276550292969
V1395	MIS18A	223	0.000941276550292969
V1685	PFKM	30	0.000941276550292969
V1770	PON1	223	0.000941276550292969
V1839	PTPN22	223	0.000941276550292969
V1893	RAPGEF1	223	0.000941276550292969
V1905	RB1CC1	30	0.000941276550292969
V2075	SEPT1	30	0.000941276550292969
V2307	TAAR8	223	0.000941276550292969
V2456	TRAPPC6A	223	0.000941276550292969
V69	ANP32E	222	0.00109148025512695
V127	ASB8	31	0.00109148025512695
V216	BVES	222	0.00109148025512695
V263	CASP8	31	0.00109148025512695
V274	CCDC136	31	0.00109148025512695
V295	CCSER2	222	0.00109148025512695
V478	CRP	222	0.00109148025512695
V481	CRX	222	0.00109148025512695
V558	DES	222	0.00109148025512695
V808	FZD10	222	0.00109148025512695
V854	GGN	222	0.00109148025512695
V992	HIST1H3B	222	0.00109148025512695
V1041	HSP90AA2P	31	0.00109148025512695
V1202	KIF5A	222	0.00109148025512695
V1213	KLHL12	31	0.00109148025512695
V1219	KLRD1	222	0.00109148025512695
V1286	LRP8	222	0.00109148025512695
V1764	POLR3B	222	0.00109148025512695
V1794	PPP5C	31	0.00109148025512695
V1873	RAB6B	222	0.00109148025512695
V1957	RIPK1	31	0.00109148025512695
V2084	SERPINB8	222	0.00109148025512695
V2144	SKIV2L	222	0.00109148025512695
V2209	SPARC	222	0.00109148025512695
V2224	SPTA1	31	0.00109148025512695
V2364	THBS2	222	0.00109148025512695
V2449	TRA2B	31	0.00109148025512695
V2531	UBTF	31	0.00109148025512695
V2532	UBXN1	31	0.00109148025512695
V2552	URI1	31	0.00109148025512695
V2566	UTS2R	222	0.00109148025512695
V2576	VCAN	222	0.00109148025512695
V71	ANXA13	221	0.00126171112060547
V200	BMS1	32	0.00126171112060547
V252	CAPNS1	32	0.00126171112060547
V376	CEP152	221	0.00126171112060547
V430	CNNM3	32	0.00126171112060547
V470	CR1	221	0.00126171112060547
V637	E2F1	221	0.00126171112060547
V823	GALR1	221	0.00126171112060547
V880	GNG3	221	0.00126171112060547
V911	GRIA2	32	0.00126171112060547
V926	GRM4	221	0.00126171112060547
V963	HECTD2	32	0.00126171112060547
V1024	HOMER3	221	0.00126171112060547
V1025	HOOK1	221	0.00126171112060547
V1051	HTR1E	221	0.00126171112060547
V1056	HTR6	221	0.00126171112060547
V1100	IL23R	221	0.00126171112060547
V1129	ISG15	221	0.00126171112060547
V1136	ITGAM	221	0.00126171112060547
V1152	KALRN	221	0.00126171112060547
V1175	KCTD12	221	0.00126171112060547
V1217	KLRB1	221	0.00126171112060547
V1218	KLRC3	221	0.00126171112060547
V1242	LAMA4	32	0.00126171112060547
V1380	MEGF10	32	0.00126171112060547
V1393	MIF4GD	32	0.00126171112060547
V1425	MRM3	32	0.00126171112060547
V1439	MSH4	32	0.00126171112060547
V1495	NBN	221	0.00126171112060547
V1614	ODF1	221	0.00126171112060547
V1620	OPRK1	221	0.00126171112060547
V1787	PPP2R3A	32	0.00126171112060547
V1936	RGS16	221	0.00126171112060547
V1954	RIOK1	221	0.00126171112060547
V1999	RSPO4	221	0.00126171112060547
V2093	SETD7	221	0.00126171112060547
V2106	SH2B3	221	0.00126171112060547
V2112	SH3GL1	221	0.00126171112060547
V2163	SLC7A11	221	0.00126171112060547
V2169	SLC9A3	221	0.00126171112060547
V2286	SUFU	221	0.00126171112060547
V2441	TP53BP2	32	0.00126171112060547
V2514	TXNRD1	221	0.00126171112060547
V2602	WDR48	221	0.00126171112060547
V2618	WT1	32	0.00126171112060547
V115	ARNT2	220	0.00145483016967773
V210	BRPF1	220	0.00145483016967773
V300	CD2	220	0.00145483016967773
V367	CENPI	220	0.00145483016967773
V368	CENPK	220	0.00145483016967773
V386	CHAF1B	220	0.00145483016967773
V421	CLSPN	220	0.00145483016967773
V537	DCAF4	33	0.00145483016967773
V571	DLGAP2	33	0.00145483016967773
V604	DPH3	220	0.00145483016967773
V658	EHHADH	220	0.00145483016967773
V684	ELOA2	33	0.00145483016967773
V726	ETHE1	33	0.00145483016967773
V736	EXOSC7	220	0.00145483016967773
V805	FXR2	33	0.00145483016967773
V827	GAP43	220	0.00145483016967773
V1148	JARID2	220	0.00145483016967773
V1156	KCNA2	220	0.00145483016967773
V1193	KIF1B	220	0.00145483016967773
V1262	LGR4	220	0.00145483016967773
V1347	MAT2B	220	0.00145483016967773
V1451	MTNR1A	220	0.00145483016967773
V1452	MTOR	33	0.00145483016967773
V1572	NPY1R	33	0.00145483016967773
V1604	NUAK1	220	0.00145483016967773
V1613	OBSCN	33	0.00145483016967773
V1626	ORC5	33	0.00145483016967773
V1671	PDLIM4	220	0.00145483016967773
V1812	PROS1	220	0.00145483016967773
V1941	RHOBTB3	33	0.00145483016967773
V1965	RNF19A	33	0.00145483016967773
V2139	SIX5	220	0.00145483016967773
V2180	SNAPC3	33	0.00145483016967773
V2265	STK16	33	0.00145483016967773
V2285	SUB1	33	0.00145483016967773
V2418	TNFSF8	220	0.00145483016967773
V2631	ZBTB25	33	0.00145483016967773
V16	ACKR2	219	0.00167274475097656
V60	AKTIP	34	0.00167274475097656
V80	APAF1	34	0.00167274475097656
V92	AQP1	34	0.00167274475097656
V137	ATG3	219	0.00167274475097656
V158	BAAT	219	0.00167274475097656
V181	BET1L	219	0.00167274475097656
V284	CCL5	219	0.00167274475097656
V326	CDC14A	219	0.00167274475097656
V365	CELF3	219	0.00167274475097656
V380	CEP89	219	0.00167274475097656
V467	CPLX1	34	0.00167274475097656
V672	EIF4G1	34	0.00167274475097656
V752	FANCE	219	0.00167274475097656
V759	FBN2	219	0.00167274475097656
V771	FCER1A	219	0.00167274475097656
V855	GGNBP1	219	0.00167274475097656
V866	GLRX2	219	0.00167274475097656
V1015	HMGA1	219	0.00167274475097656
V1027	HOXA9	34	0.00167274475097656
V1035	HSBP1	34	0.00167274475097656
V1075	IGBP1	219	0.00167274475097656
V1077	IGF2BP1	219	0.00167274475097656
V1126	IRF8	219	0.00167274475097656
V1226	KPTN	34	0.00167274475097656
V1315	MAGT1	219	0.00167274475097656
V1360	MCHR2	219	0.00167274475097656
V1416	MORF4L2	34	0.00167274475097656
V1504	NCOA5	219	0.00167274475097656
V1710	PIM1	34	0.00167274475097656
V1920	REG1A	219	0.00167274475097656
V1933	RFX5	219	0.00167274475097656
V2070	SEMG2	219	0.00167274475097656
V2074	SEPSECS	219	0.00167274475097656
V2094	SF1	34	0.00167274475097656
V2119	SHB	219	0.00167274475097656
V2161	SLC40A1	219	0.00167274475097656
V2181	SNCA	219	0.00167274475097656
V2196	SOCS2	219	0.00167274475097656
V2219	SPNS1	219	0.00167274475097656
V2258	STAG1	219	0.00167274475097656
V2319	TAF6L	219	0.00167274475097656
V2361	TGM1	219	0.00167274475097656
V2365	THOC2	219	0.00167274475097656
V2403	TMF1	34	0.00167274475097656
V2448	TPX2	219	0.00167274475097656
V2468	TRIM41	34	0.00167274475097656
V2512	TXNIP	219	0.00167274475097656
V2525	UBOX5	34	0.00167274475097656
V2530	UBR5	34	0.00167274475097656
V2542	UNC13B	34	0.00167274475097656
V2556	USP12	219	0.00167274475097656
V2565	UTP3	34	0.00167274475097656
V2603	WDR61	34	0.00167274475097656
V180	BEND7	35	0.00191831588745117
V189	BID	35	0.00191831588745117
V215	BUB1	218	0.00191831588745117
V242	CAMK2A	35	0.00191831588745117
V315	CD6	218	0.00191831588745117
V438	COG5	35	0.00191831588745117
V439	COG8	35	0.00191831588745117
V474	CREBZF	35	0.00191831588745117
V482	CRY1	35	0.00191831588745117
V493	CSN2	218	0.00191831588745117
V527	DACH1	35	0.00191831588745117
V669	EIF4E2	35	0.00191831588745117
V708	EPOR	35	0.00191831588745117
V735	EXOSC4	35	0.00191831588745117
V770	FBXW7	35	0.00191831588745117
V804	FURIN	218	0.00191831588745117
V826	GANAB	35	0.00191831588745117
V836	GBF1	218	0.00191831588745117
V875	GNAS	35	0.00191831588745117
V996	HIST1H3I	218	0.00191831588745117
V1158	KCNAB2	218	0.00191831588745117
V1251	LATS1	218	0.00191831588745117
V1264	LILRB4	218	0.00191831588745117
V1270	LMNB1	218	0.00191831588745117
V1290	LSM11	218	0.00191831588745117
V1391	MICALL1	218	0.00191831588745117
V1499	NCAPH	218	0.00191831588745117
V1506	NDE1	35	0.00191831588745117
V1521	NF1	35	0.00191831588745117
V1541	NKIRAS1	218	0.00191831588745117
V1567	NPHP1	35	0.00191831588745117
V1697	PHF21A	218	0.00191831588745117
V1712	PINX1	35	0.00191831588745117
V1800	PRDM2	218	0.00191831588745117
V1805	PRKAR2B	35	0.00191831588745117
V1850	PTX3	218	0.00191831588745117
V2022	SAP30BP	35	0.00191831588745117
V2060	SEL1L	35	0.00191831588745117
V2064	SELPLG	218	0.00191831588745117
V2095	SF3B1	218	0.00191831588745117
V2107	SH2D1A	218	0.00191831588745117
V2197	SOCS3	218	0.00191831588745117
V2241	SRP72	35	0.00191831588745117
V2266	STK19	35	0.00191831588745117
V2298	SYNE1	35	0.00191831588745117
V2343	TENT5A	218	0.00191831588745117
V2485	TSPAN3	35	0.00191831588745117
V2581	VPREB1	218	0.00191831588745117
V136	ATG16L1	36	0.00219488143920898
V311	CD46	217	0.00219488143920898
V427	CNKSR1	36	0.00219488143920898
V488	CSE1L	36	0.00219488143920898
V492	CSMD2	217	0.00219488143920898
V551	DDX56	36	0.00219488143920898
V577	DNAAF5	36	0.00219488143920898
V617	DSC3	217	0.00219488143920898
V772	FCER1G	217	0.00219488143920898
V787	FLNB	36	0.00219488143920898
V838	GCC2	217	0.00219488143920898
V869	GLUD1	217	0.00219488143920898
V987	HIST1H2BA	217	0.00219488143920898
V1194	KIF20A	217	0.00219488143920898
V1267	LIN7A	36	0.00219488143920898
V1280	LPAR3	217	0.00219488143920898
V1285	LRP6	36	0.00219488143920898
V1341	MAPRE2	36	0.00219488143920898
V1432	MRPS5	217	0.00219488143920898
V1505	NCOR1	36	0.00219488143920898
V1515	NEFH	217	0.00219488143920898
V1632	OTUD7B	36	0.00219488143920898
V1682	PEX2	36	0.00219488143920898
V1776	PPFIA2	36	0.00219488143920898
V1791	PPP3R1	36	0.00219488143920898
V2068	SEMA4C	217	0.00219488143920898
V2103	SGO2	217	0.00219488143920898
V2111	SH3D19	217	0.00219488143920898
V2114	SH3GL3	217	0.00219488143920898
V2127	SIGLEC10	217	0.00219488143920898
V2130	SIK2	36	0.00219488143920898
V2242	SRPRB	36	0.00219488143920898
V2314	TAF12	217	0.00219488143920898
V2384	TKT	217	0.00219488143920898
V2421	TNNC2	217	0.00219488143920898
V2609	WNT10B	217	0.00219488143920898
V2627	YAP1	36	0.00219488143920898
V37	ADD2	216	0.00250482559204102
V109	ARL15	37	0.00250482559204102
V192	BLK	216	0.00250482559204102
V202	BNIP3L	37	0.00250482559204102
V254	CAPZA1	216	0.00250482559204102
V331	CDC34	37	0.00250482559204102
V385	CFL2	216	0.00250482559204102
V400	CHRD	37	0.00250482559204102
V631	DUSP3	37	0.00250482559204102
V645	EDF1	37	0.00250482559204102
V830	GART	216	0.00250482559204102
V990	HIST1H2BH	216	0.00250482559204102
V997	HIST1H3J	37	0.00250482559204102
V1112	INCENP	216	0.00250482559204102
V1183	KHSRP	216	0.00250482559204102
V1192	KIF17	37	0.00250482559204102
V1295	LTBP1	216	0.00250482559204102
V1307	MAD2L2	37	0.00250482559204102
V1344	MARK2	216	0.00250482559204102
V1430	MRPL55	216	0.00250482559204102
V1493	NAPG	216	0.00250482559204102
V1530	NFKBIL1	37	0.00250482559204102
V1587	NR5A2	37	0.00250482559204102
V1645	PAN3	37	0.00250482559204102
V1680	PER3	37	0.00250482559204102
V1754	POLD3	216	0.00250482559204102
V1822	PSEN2	37	0.00250482559204102
V1896	RARS	216	0.00250482559204102
